ID,Full Text,Satire Flag,Prediction,Date
user_39715,"PURVIS, MS_—”Braking hard at the county line and watching as the fugitives they had pursued sped away in a cloud of dust, the nation_—Ès outfoxed sheriffs reportedly leapt up out of their vehicles, threw their hats in the dirt, and shook their heads in disgust Friday. _—“Dagnabbit! They got away again,_—ù said the lawmen, spitting out the sides of their mouths and stomping on their wide-brimmed Stetsons as the car filled with _—“the worst miscreants ever seen in these parts_—ù faded into the distance. _—“Get back here, you no-good, dirty varmints! Tell me, is every deputy in this department a goldarned ignoramus? _—ÈCause I told you sorry sons-a-bitches to keep an eye on _—Èem! Well, don_—Èt just stand there, Rudy_—”get on the radio and see if you can raise the highway patrol. Them outlaws will be halfway to Alabam_—È _—Èfore we know it._—ù At press time, sources confirmed the nation_—Ès hornswoggled sheriffs were furiously slapping their steering wheels upon realizing their cars wouldn_—Èt start.",1,1,12/02/2017
user_39715,"PURVIS, MS‰ÛÓBraking hard at the county line and watching as the fugitives they had pursued sped away in a cloud of dust, the nation‰Ûªs outfoxed sheriffs reportedly leapt up out of their vehicles, threw their hats in the dirt, and shook their heads in disgust Friday. ‰ÛÏDagnabbit! They got away again,‰Ûù said the lawmen, spitting out the sides of their mouths and stomping on their wide-brimmed Stetsons as the car filled with ‰ÛÏthe worst miscreants ever seen in these parts‰Ûù faded into the distance. ‰ÛÏGet back here, you no-good, dirty varmints! Tell me, is every deputy in this department a goldarned ignoramus? ‰ÛªCause I told you sorry sons-a-bitches to keep an eye on ‰Ûªem! Well, don‰Ûªt just stand there, Rudy‰ÛÓget on the radio and see if you can raise the highway patrol. Them outlaws will be halfway to Alabam‰Ûª ‰Ûªfore we know it.‰Ûù At press time, sources confirmed the nation‰Ûªs hornswoggled sheriffs were furiously slapping their steering wheels upon realizing their cars wouldn‰Ûªt start.",0,1,12/02/2017
user_39715,"PURVIS, MS‰ÛÓBraking hard at the county line and watching as the fugitives they had pursued sped away in a cloud of dust, the nation‰Ûªs outfoxed sheriffs reportedly leapt up out of their vehicles, threw their hats in the dirt, and shook their heads in disgust Friday. ‰ÛÏDagnabbit! They got away again,‰Ûù said the lawmen, spitting out the sides of their mouths and stomping on their wide-brimmed Stetsons as the car filled with ‰ÛÏthe worst miscreants ever seen in these parts‰Ûù faded into the distance. ‰ÛÏGet back here, you no-good, dirty varmints! Tell me, is every deputy in this department a goldarned ignoramus? ‰ÛªCause I told you sorry sons-a-bitches to keep an eye on ‰Ûªem! Well, don‰Ûªt just stand there, Rudy‰ÛÓget on the radio and see if you can raise the highway patrol. Them outlaws will be halfway to Alabam‰Ûª ‰Ûªfore we know it.‰Ûù At press time, sources confirmed the nation‰Ûªs hornswoggled sheriffs were furiously slapping their steering wheels upon realizing their cars wouldn‰Ûªt start.",0,1,12/02/2017
user_39715,"PURVIS, MS‰ÛÓBraking hard at the county line and watching as the fugitives they had pursued sped away in a cloud of dust, the nation‰Ûªs outfoxed sheriffs reportedly leapt up out of their vehicles, threw their hats in the dirt, and shook their heads in disgust Friday. ‰ÛÏDagnabbit! They got away again,‰Ûù said the lawmen, spitting out the sides of their mouths and stomping on their wide-brimmed Stetsons as the car filled with ‰ÛÏthe worst miscreants ever seen in these parts‰Ûù faded into the distance. ‰ÛÏGet back here, you no-good, dirty varmints! Tell me, is every deputy in this department a goldarned ignoramus? ‰ÛªCause I told you sorry sons-a-bitches to keep an eye on ‰Ûªem! Well, don‰Ûªt just stand there, Rudy‰ÛÓget on the radio and see if you can raise the highway patrol. Them outlaws will be halfway to Alabam‰Ûª ‰Ûªfore we know it.‰Ûù At press time, sources confirmed the nation‰Ûªs hornswoggled sheriffs were furiously slapping their steering wheels upon realizing their cars wouldn‰Ûªt start.",0,1,12/02/2017
user_39715,"PURVIS, MS‰ÛÓBraking hard at the county line and watching as the fugitives they had pursued sped away in a cloud of dust, the nation‰Ûªs outfoxed sheriffs reportedly leapt up out of their vehicles, threw their hats in the dirt, and shook their heads in disgust Friday. ‰ÛÏDagnabbit! They got away again,‰Ûù said the lawmen, spitting out the sides of their mouths and stomping on their wide-brimmed Stetsons as the car filled with ‰ÛÏthe worst miscreants ever seen in these parts‰Ûù faded into the distance. ‰ÛÏGet back here, you no-good, dirty varmints! Tell me, is every deputy in this department a goldarned ignoramus? ‰ÛªCause I told you sorry sons-a-bitches to keep an eye on ‰Ûªem! Well, don‰Ûªt just stand there, Rudy‰ÛÓget on the radio and see if you can raise the highway patrol. Them outlaws will be halfway to Alabam‰Ûª ‰Ûªfore we know it.‰Ûù At press time, sources confirmed the nation‰Ûªs hornswoggled sheriffs were furiously slapping their steering wheels upon realizing their cars wouldn‰Ûªt start.",0,1,12/02/2017
user_39715,"PURVIS, MS‰ÛÓBraking hard at the county line and watching as the fugitives they had pursued sped away in a cloud of dust, the nation‰Ûªs outfoxed sheriffs reportedly leapt up out of their vehicles, threw their hats in the dirt, and shook their heads in disgust Friday. ‰ÛÏDagnabbit! They got away again,‰Ûù said the lawmen, spitting out the sides of their mouths and stomping on their wide-brimmed Stetsons as the car filled with ‰ÛÏthe worst miscreants ever seen in these parts‰Ûù faded into the distance. ‰ÛÏGet back here, you no-good, dirty varmints! Tell me, is every deputy in this department a goldarned ignoramus? ‰ÛªCause I told you sorry sons-a-bitches to keep an eye on ‰Ûªem! Well, don‰Ûªt just stand there, Rudy‰ÛÓget on the radio and see if you can raise the highway patrol. Them outlaws will be halfway to Alabam‰Ûª ‰Ûªfore we know it.‰Ûù At press time, sources confirmed the nation‰Ûªs hornswoggled sheriffs were furiously slapping their steering wheels upon realizing their cars wouldn‰Ûªt start.",0,1,12/02/2017
user_40527,"PURVIS, MSâ€”Braking hard at the county line and watching as the fugitives they had pursued sped away in a cloud of dust, the nationâ€™s outfoxed sheriffs reportedly leapt up out of their vehicles, threw their hats in the dirt, and shook their heads in disgust Friday. â€œDagnabbit! They got away again,â€ù said the lawmen, spitting out the sides of their mouths and stomping on their wide-brimmed Stetsons as the car filled with â€œthe worst miscreants ever seen in these partsâ€ù faded into the distance. â€œGet back here, you no-good, dirty varmints! Tell me, is every deputy in this department a goldarned ignoramus? â€™Cause I told you sorry sons-a-bitches to keep an eye on â€™em! Well, donâ€™t just stand there, Rudyâ€”get on the radio and see if you can raise the highway patrol. Them outlaws will be halfway to Alabamâ€™ â€™fore we know it.â€ù At press time, sources confirmed the nationâ€™s hornswoggled sheriffs were furiously slapping their steering wheels upon realizing their cars wouldnâ€™t start.",-1,1,12/02/2017
user_40527,"PURVIS, MSâ€”Braking hard at the county line and watching as the fugitives they had pursued sped away in a cloud of dust, the nationâ€™s outfoxed sheriffs reportedly leapt up out of their vehicles, threw their hats in the dirt, and shook their heads in disgust Friday. â€œDagnabbit! They got away again,â€ù said the lawmen, spitting out the sides of their mouths and stomping on their wide-brimmed Stetsons as the car filled with â€œthe worst miscreants ever seen in these partsâ€ù faded into the distance. â€œGet back here, you no-good, dirty varmints! Tell me, is every deputy in this department a goldarned ignoramus? â€™Cause I told you sorry sons-a-bitches to keep an eye on â€™em! Well, donâ€™t just stand there, Rudyâ€”get on the radio and see if you can raise the highway patrol. Them outlaws will be halfway to Alabamâ€™ â€™fore we know it.â€ù At press time, sources confirmed the nationâ€™s hornswoggled sheriffs were furiously slapping their steering wheels upon realizing their cars wouldnâ€™t start.",-1,1,12/02/2017
user_40527,"PURVIS, MSâ€”Braking hard at the county line and watching as the fugitives they had pursued sped away in a cloud of dust, the nationâ€™s outfoxed sheriffs reportedly leapt up out of their vehicles, threw their hats in the dirt, and shook their heads in disgust Friday. â€œDagnabbit! They got away again,â€ù said the lawmen, spitting out the sides of their mouths and stomping on their wide-brimmed Stetsons as the car filled with â€œthe worst miscreants ever seen in these partsâ€ù faded into the distance. â€œGet back here, you no-good, dirty varmints! Tell me, is every deputy in this department a goldarned ignoramus? â€™Cause I told you sorry sons-a-bitches to keep an eye on â€™em! Well, donâ€™t just stand there, Rudyâ€”get on the radio and see if you can raise the highway patrol. Them outlaws will be halfway to Alabamâ€™ â€™fore we know it.â€ù At press time, sources confirmed the nationâ€™s hornswoggled sheriffs were furiously slapping their steering wheels upon realizing their cars wouldnâ€™t start.",-1,1,12/02/2017
user_40527,"PURVIS, MSâ€”Braking hard at the county line and watching as the fugitives they had pursued sped away in a cloud of dust, the nationâ€™s outfoxed sheriffs reportedly leapt up out of their vehicles, threw their hats in the dirt, and shook their heads in disgust Friday. â€œDagnabbit! They got away again,â€ù said the lawmen, spitting out the sides of their mouths and stomping on their wide-brimmed Stetsons as the car filled with â€œthe worst miscreants ever seen in these partsâ€ù faded into the distance. â€œGet back here, you no-good, dirty varmints! Tell me, is every deputy in this department a goldarned ignoramus? â€™Cause I told you sorry sons-a-bitches to keep an eye on â€™em! Well, donâ€™t just stand there, Rudyâ€”get on the radio and see if you can raise the highway patrol. Them outlaws will be halfway to Alabamâ€™ â€™fore we know it.â€ù At press time, sources confirmed the nationâ€™s hornswoggled sheriffs were furiously slapping their steering wheels upon realizing their cars wouldnâ€™t start.",-1,1,12/02/2017
